trust_in_government,transcription,speechbrain_classification,sentiment_BERT,sentiment_GPT
3, We are too divided politically to trust things that people say in Washington.,['ang'],negative,negative
3," They are very shady, power hungry monsters and the worst of the human race.",['neu'],negative,negative
2," The federal government, like all the other governments on this planet, is corrupt and it will never have your best interest in mind. Politicians are corrupt evil people.",['neu'],negative,negative
5," I think we can trust them to do what's right most of the time because at the end of the day even after a lot of fighting and arguing back and forth, the things that need to get done generally get done.",['neu'],positive,positive
3, Because I think that there are a lot of problems in this country that most people in government positions don't really care about too much.,['neu'],negative,negative
3," Because I don't like Republicans, all they do is try to bog legislation down. It's not good.",['neu'],negative,negative
4, I think there's a lot of cover-ups and there's a lot of conspiracy theories and I don't always believe in those but some of them I do believe to be true. Like I don't believe that we walked on the moon and I believe that we knew about 9-11 before it happened.,['sad'],neutral,negative
3," I chose some of the time because I think most of the politicians in our federal government are not trustworthy. I do believe, though, in critical times, the Constitution will be followed.",['neu'],negative,neutral
5, I feel that most people who work in the government are trying to do their best to do what's best for the majority of the people.,['ang'],neutral,positive
3, I just think that there are too many crooked politicians just like everybody. There's crooked politicians and people who have their own interests at heart and not everybody else's.,['neu'],negative,negative
3, some of the time because I said so.,['neu'],neutral,neutral
3, I answer some of the time because I believe most politicians work for their own interest and their own private greed and not for the people that elected them.,['neu'],negative,negative
4," It wildly depends on the subject matter and who ends up on the committee, let alone who is paying for them. There are simply too many variables to say anything but half the time, since it's a total toss-up.",['neu'],negative,neutral
5, Because I trust President Biden. I think our values are aligned and we agree on the important aspects of both domestic and foreign policy.,['ang'],positive,positive
3," I don't have too much trust in the government these days. I think there's too much money involved in influencing politicians and laws. So I should have said never, but sometimes maybe.",['sad'],negative,negative
3," It has been my experience over the decades that they can be trusted sometimes, but not all that often.",['neu'],neutral,neutral
2," Everybody that's in Washington have been there for years and years and years and are getting paid by lobbyists to do what the lobbyists want them to do, not what is for the greater good of the United States.",['neu'],negative,negative
4," It takes three months before La Haina is fully reopened. Well, I know that we were working in an office that had been open for almost 50 years. And they selected our office to be shut, to be terminated. The entire office was shut down, and I don't believe that was necessary.",['neu'],negative,negative
3," While most of the time, like, politicians in Washington just seem to like, you know, pass bills and do things to benefit wealthy people, sometimes they do, like, pass more progressive or like helpful for the general public, like in terms of policies.",['neu'],neutral,neutral
3, It seems that we are always embroiled in some type of government issue. So I sincerely doubt that they are that up front with everything that they're supposed to be doing.,['neu'],negative,negative
5," The current administration, I trust the current administration, which is basically making a lot of the decisions. So I'd say most of the time I trust what's going on.",['hap'],positive,positive
5," Yeah, most of the time they do things that are correct. Every once in a while you get something that seems a little bit corrupt, a little bit self-serving, but for the majority of it I can kind of see why they made certain decisions even though I might not agree with them.",['neu'],neutral,neutral
4," Occasionally politicians are acting in good faith, but about half the time they serve special interests and lobbyists instead of what the people really want.",['neu'],negative,negative
3," I answer some of the time because it depends on who's in power. Basically, the Republicans cannot be trusted. They don't want what's best for their constituents. They want what's best for them. So if the Democrats are in charge, then there's a lot better chance of things being reasonable, but if not, all bets are off.",['neu'],negative,negative
3," Some of the time, what is good or right for all of the people also involves them. Most of the time, it does not involve them, so they don't do what is good or right for the people.",['neu'],neutral,negative
3, I just don't fully trust the government to do the right things in a lot of cases.,['neu'],negative,negative
3, I'm not happy with the liberal current administration and I think they focus too much on illegal immigrants and harm the economy and current residential national interests.,['neu'],negative,negative
